municipality,province,region,income_class,population,area_km2,pop_density_per_km2,solar_irradiance_kwh_m2_day,solar_norm,income_score,pop_density_norm,geo_score,final_score,web_score,tier,assessment,opportunities,risks,lat,lon
Pilar,Abra,Cordillera Administrative Region (CAR),1st,10498,84.94,123.6,5.138,0.589,6.0,0.2772,0.7116,0.7231,0.75,MEDIUM,"Pilar, Abra, presents a promising commercial solar opportunity due to its exceptionally high income classification (1st class) despite its rural setting, indicating local businesses or institutions may have capital for investment. However, the small population (10,498) and only moderate solar irradiance suggest the primary market will be commercial and institutional rooftops rather than large-scale residential deployment.","[""Target the six identified commercial/industrial anchors for rooftop solar or solar-powered facilities, leveraging their high income status and alignment with national Green Energy Auction Program incentives.""]","[""The municipality's rural and likely grid-dependent nature, combined with its specific topography within the Cordillera, may pose logistical challenges for installation and maintenance, and local technical capacity for solar upkeep could be limited.""]",17.4150125,120.5954887
Bangued,Abra,Cordillera Administrative Region (CAR),1st,48331,118.91,406.4,5.014,0.4839,6.0,0.3937,0.6981,0.7023,0.7119,MEDIUM,"As the 1st-class capital municipality of Abra, Bangued presents a solid commercial anchor point for solar adoption in a predominantly rural province, supported by its high income score and existing commercial/industrial activity. While its solar irradiance is only moderate, the national policy tailwinds and availability of financing (as noted in the ADB news) could catalyze projects among its businesses and institutions.","[""Target the 10 identified commercial/industrial anchors (e.g., malls, warehouses) in Bangued with rooftop solar or solar power purchase agreements (PPAs), leveraging their economic activity and the national financing programs highlighted in the web intelligence.""]","[""As a rural municipality in a landlocked, mountainous province, Bangued may face grid interconnection challenges or limited grid capacity to absorb distributed solar generation, potentially stalling project implementation despite demand.""]",17.5964869,120.61785
Tayum,Abra,Cordillera Administrative Region (CAR),1st,14808,48.28,306.7,5.023,0.4921,6.0,0.3661,0.6954,0.6916,0.6825,MEDIUM,"Tayum, as a 1st-class municipality in Abra, presents an intriguing commercial prospect due to its high income classification and the presence of several commercial/industrial anchors, which could serve as early adopters for rooftop solar under programs like the GEOP. However, its rural nature and moderate solar irradiance suggest the market will be niche, likely focused on these established businesses rather than broad residential penetration.","[""Leverage the identified commercial/industrial anchors (7) to pilot rooftop solar projects, potentially tapping into development bank financing models for clean energy similar to the ADB-Buskowitz initiative mentioned in the news.""]","[""The extremely low average price level (0) of local businesses indicates high cost sensitivity, which could make the upfront investment for solar a significant barrier despite long-term savings, requiring creative financing solutions.""]",17.6179807,120.6537449
Villaviciosa,Abra,Cordillera Administrative Region (CAR),1st,5674,88.5,64.1,5.008,0.4789,6.0,0.2135,0.6603,0.6405,0.5944,MEDIUM,"Villaviciosa, as a 1st class rural municipality in Abra, likely has some established economic activity or government investment supporting its higher income classification, which could translate to demand for commercial or institutional solar installations despite its modest population. Its moderate solar irradiance (0.48 score) is viable for solar projects, and the regional economic news highlighting ADB-backed solar financing for commercial/industrial buildings suggests a favorable policy and investment environment that could extend to projects here. However, the very low population score (0.21) indicates limited residential market scale, making any project dependent on identifying specific large off-takers.","[""Targeting solar installations for the municipality's likely commercial or institutional anchors (e.g., municipal buildings, schools, or agricultural processing facilities) to capitalize on its 1st-class income status and available regional financing mechanisms.""]","[""The extremely low population density may result in insufficient aggregate demand from small commercial or residential customers to justify distributed solar project scale-up, requiring reliance on a few large anchor clients that may not exist.""]",17.4378456,120.6256845
Luba,Abra,Cordillera Administrative Region (CAR),1st,6402,136.91,46.8,4.998,0.4708,6.0,0.183,0.6514,0.6626,0.6887,MEDIUM,"Luba, Abra presents a unique case as a high-income rural municipality. Its strong economic standing (income score 1.00) suggests a community with greater purchasing power, but its small, dispersed population limits large-scale residential solar opportunities. The primary potential lies with the four identified commercial/industrial anchors and leveraging regional development financing like the ADB-Buskowitz initiative for rooftop installations.","[""Develop a targeted commercial rooftop solar program for the four identified commercial/industrial anchors, positioning the project to access the type of financing recently announced by the ADB for the Philippine C&I sector.""]","[""The rural nature and small population base may indicate an economy heavily reliant on agriculture or traditional livelihoods, making commercial tenants potentially hesitant to adopt new capital investments despite higher average income.""]",17.3173444,120.694618
San Isidro,Abra,Cordillera Administrative Region (CAR),2nd,4771,45.49,104.9,5.008,0.4789,5.0,0.2612,0.5573,0.5722,0.6069,MEDIUM,"San Isidro, Abra presents a niche opportunity due to its relatively high income classification for a rural municipality, suggesting potential for funded community or institutional solar projects despite its low population density. However, its remote location in the Cordillera mountains and limited commercial base (only one anchor found) will pose significant logistical and demand-generation challenges for any commercial rollout. The moderate solar irradiance is adequate but not exceptional for the region.","[""Leverage the high income score and potential community cohesion in a small municipality to develop a community-owned solar microgrid or a solar program for the municipal government and key institutions (e.g., schools, health centers), potentially accessing rural electrification funds.""]","[""The municipality's rural, mountainous geography likely results in high transportation and installation costs, while the very low population score and minimal commercial/industrial anchors create a small addressable market, making standalone commercial projects financially unviable.""]",17.4657415,120.6028042
Tineg,Abra,Cordillera Administrative Region (CAR),1st,5059,744.12,6.8,4.729,0.2446,6.0,0.0049,0.5366,0.5777,0.6737,MEDIUM,"Tineg presents a unique case as a high-income (1st class), rural municipality with a very small population (score 0.00) and relatively low solar irradiance (score 0.24). However, its exceptional income level and the presence of significant commercial/industrial anchors (3) indicate concentrated purchasing power, likely from sectors like mining or government revenue, making it a potentially lucrative niche for high-value solar installations despite the challenging topography.","[""Leverage the ADB's active financing for commercial and industrial rooftop solar in the Philippines (as seen in the web intelligence) to partner with the 3 identified commercial/industrial anchors in Tineg, using their strong financial capacity (income score 1.00) to fund projects.""]","[""The municipality's extreme rural, mountainous terrain in Abra province will create significant logistical and cost challenges for transporting materials, equipment, and installation crews, potentially eroding project margins despite the high income level.""]",17.7219615,120.8215933
Pidigan,Abra,Cordillera Administrative Region (CAR),3rd,12058,54.91,219.6,5.146,0.5958,4.0,0.3334,0.5002,0.5731,0.7431,MEDIUM,"Pidigan, as a rural, 3rd-class municipality in Abra, presents a mixed but developing opportunity for solar installations, primarily due to its moderate solar resource and the national momentum for rural renewables. However, its low population density and limited local commercial base, indicated by the low commerce score, suggest the primary market would be residential and small-scale agricultural applications rather than large commercial offtakers.","[""Leverage the national trend of ADB and international financing for rural solar projects to develop community-owned or cooperative solar systems for households and local agricultural processing, addressing energy access in a remote area.""]","[""The very low price level and limited number of commercial/industrial anchors in Pidigan create a challenge in finding financially stable, large-scale offtakers to anchor a solar project, potentially limiting revenue to a low-income residential market.""]",17.5704559,120.5900124
San Quintin,Abra,Cordillera Administrative Region (CAR),3rd,5963,57.21,104.2,5.146,0.5958,4.0,0.2606,0.4857,0.454,0.38,MEDIUM,"San Quintin, Abra presents a mixed opportunity; its moderate solar irradiance and income score suggest viable conditions for solar adoption, but its low population density and rural classification limit the potential for large-scale commercial projects. The presence of a few rated commercial anchors provides a foundational customer base, though the very low average price level indicates minimal current spending power for premium solar installations.","[""Target the identified commercial/industrial anchors (likely small to medium enterprises or municipal buildings) with rooftop solar and financing solutions, leveraging regional programs from development banks like the ADB mentioned in the intelligence.""]","[""The extremely low population score (0.26) severely constrains the total addressable market for residential solar, making customer acquisition costs potentially high and the market sensitive to individual large sales.""]",17.5428676,120.5183358
Tubo,Abra,Cordillera Administrative Region (CAR),2nd,4941,431.06,11.5,4.846,0.3427,5.0,0.051,0.4676,0.5205,0.6438,MEDIUM,"Tubo, Abra, is a small, rural municipality with a relatively high income classification for its size, suggesting possible concentrated economic activity or local government funds, yet it receives below-average solar irradiance compared to other candidates, likely due to its mountainous Cordillera location. While the high business ratings indicate a stable local commercial environment, the low population score underscores a limited customer base for standard residential solar projects. The recent national push for renewable energy investment, highlighted by the ADB-Buskowitz deal, creates a favorable backdrop for targeted projects.","[""Leverage Tubo's relatively strong municipal income to partner with the local government on a solar-powered public infrastructure project (e.g., municipal hall, health center, or water pumping stations), demonstrating viability and building public trust for future private adoption.""]","[""The low solar irradiance score (0.34) significantly impacts the energy output and financial payback period of installations, making standard rooftop projects less economically attractive without substantial subsidies or alternative financing.""]",17.2583528,120.724627
